更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
河南卫视,http://111.193.235.246:8888/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://106.116.240.74:9999/rtp/239.254.201.16:7174$河北省电信
湖北卫视,http://113.120.108.132:4000/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://116.237.61.115:4022/rtp/233.18.204.92:5140$上海市电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://182.135.34.97:888/rtp/239.94.0.84:5140$四川电信
湖北卫视,http://121.238.250.95:8800/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://111.193.235.246:8888/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://106.116.240.74:9999/rtp/239.254.200.164:6000$河北省电信
江西卫视,http://113.120.108.132:4000/rtp/239.21.1.167:5002$山东电信
江西卫视,http://116.237.61.115:4022/rtp/233.18.204.95:5140$上海市电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://182.135.34.97:888/rtp/239.94.0.79:5140$四川电信
江西卫视,http://121.238.250.95:8800/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://111.193.235.246:8888/rtp/239.3.1.123:8164$北京市联通
江西卫视,http://106.116.240.74:9999/rtp/239.254.201.12:6290$河北省电信
四川卫视,http://113.120.108.132:4000/rtp/239.21.2.15:5002$山东电信
四川卫视,http://116.237.61.115:4022/rtp/233.18.204.225:5140$上海市电信
四川卫视,http://116.237.61.115:4022/rtp/233.18.204.99:5140$上海市电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.115:5140$四川电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.60:5140$四川电信
四川卫视,http://182.135.34.97:888/rtp/239.94.0.59:5140$四川电信
四川卫视,http://121.238.250.95:8800/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://111.193.235.246:8888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://106.116.240.74:9999/rtp/239.254.200.202:6325$河北省电信
重庆卫视,http://113.120.108.132:4000/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://116.237.61.115:4022/rtp/233.18.204.100:5140$上海市电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://182.135.34.97:888/rtp/239.94.0.82:5140$四川电信
重庆卫视,http://121.238.250.95:8800/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://111.193.235.246:8888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
贵州卫视,http://113.120.108.132:4000/rtp/239.21.1.166:5002$山东电信
贵州卫视,http://116.237.61.115:4022/rtp/233.18.204.101:5140$上海市电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://182.135.34.97:888/rtp/239.94.0.83:5140$四川电信
贵州卫视,http://121.238.250.95:8800/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://111.193.235.246:8888/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
云南卫视,http://116.237.61.115:4022/rtp/233.18.204.106:5140$上海市电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://182.135.34.97:888/rtp/239.94.0.90:5140$四川电信
云南卫视,http://121.238.250.95:8800/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://111.193.235.246:8888/rtp/239.3.1.26:8108$北京市联通
天津卫视,http://113.120.108.132:4000/rtp/239.21.1.165:5002$山东电信
天津卫视,http://116.237.61.115:4022/rtp/233.18.204.97:5140$上海市电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://182.135.34.97:888/rtp/239.94.0.68:5140$四川电信
天津卫视,http://121.238.250.95:8800/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://111.193.235.246:8888/rtp/239.3.1.141:1234$北京市联通
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
安徽卫视,http://113.120.108.132:4000/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://116.237.61.115:4022/rtp/233.18.204.93:5140$上海市电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://182.135.34.97:888/rtp/239.94.0.85:5140$四川电信
安徽卫视,http://121.238.250.95:8800/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://111.193.235.246:8888/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
山东卫视,http://113.120.108.132:4000/rtp/239.21.1.87:5002$山东电信
山东卫视,http://116.237.61.115:4022/rtp/233.18.204.228:5140$上海市电信
